rmag,rabsmag,redshift,rad,sern,pos,ba,baslot,x_mu,x_sigma,z_mu,z_sigma
19.3605,-21.2275,0.25879800000000003,2.31439,5.0999,0.7506,0.4764,47.0,0.48138000000000003,0.341828,0.9288000000000001,0.20081999999999997
18.6884,-22.0756,0.277852,4.25291,1.8872,69.1281,0.5931,59.0,0.46766,0.17856,0.962,0.06742
19.4446,-21.1294,0.25737600000000005,2.49615,2.067,-6.9383,0.6396,63.0,0.333008,0.179344,0.962,0.1028
19.7717,-21.1846,0.299827,2.0417799999999997,2.6673,-31.3768,0.2877,28.0,0.17856,0.412388,0.992,0.27505999999999997
19.471,-19.302,0.12171300000000002,3.54929,0.94,-14.0825,0.2141,21.0,0.15994000000000003,0.07958000000000001,0.9228,0.06742
19.6459,-19.0963,0.120121,2.94246,2.0772,49.2876,0.2368,23.0,0.09134,0.27949999999999997,0.924,0.1318
18.911,-19.5677,0.107296,4.69303,1.0112,84.4056,0.6632,66.0,0.15562800000000004,0.036460000000000006,0.962,0.09816
19.7996,-19.0136,0.12381500000000001,2.3423700000000003,1.0764,12.8451,0.9727,97.0,0.28714399999999995,0.10584400000000001,0.8936000000000001,0.10976
19.475,-20.2302,0.180254,2.17604,1.148,-81.084,0.579,57.0,0.3481,0.12858000000000003,0.9228,0.11556
19.4529,-20.2512,0.180173,1.85588,2.1902,0.3138,0.4389,43.0,0.19619999999999999,0.34319999999999995,0.992,0.2507
18.7252,-20.1418,0.12668800000000002,2.41495,2.9742,-74.8935,0.9013,90.0,0.38142,0.4069,0.9868,0.29768
18.8272,-22.1213,0.299166,2.48917,1.3424,69.1748,0.3636,36.0,0.47550000000000003,0.4167,0.954,0.1492
18.8866,-19.4945,0.10288,2.30905,0.8247,-39.4936,0.4082,40.0,0.285968,0.092908,0.9316,0.1028
19.1449,-21.8011,0.298585,2.39506,2.4777,-53.3246,0.6789,67.0,0.34319999999999995,0.4804,0.928,0.1898
19.506,-21.0802,0.25864699999999996,1.89897,0.4635,57.8866,0.6049,60.0,0.41669999999999996,0.4363,0.974,0.23909999999999998
17.7975,-20.6859,0.10751500000000001,2.1790700000000003,3.5444,-89.3826,0.6652,66.0,0.221288,0.183068,0.9236,0.08829999999999999
19.2898,-20.7571,0.20760599999999998,2.69041,0.7194,-76.5176,0.4478,44.0,0.3383,0.15994000000000003,0.96,0.11845999999999998
19.0729,-20.5888,0.177019,2.44467,1.6052,40.5503,0.3057,30.0,0.27656,0.14818,0.992,0.13992
18.9677,-21.8871,0.288163,2.99505,0.9184,-26.4247,0.7533,75.0,0.49608,0.405724,0.9296000000000001,0.15732
18.6658,-22.2803,0.298085,4.38405,6.5129,-7.9932,0.9241,92.0,0.48726,0.31830800000000004,0.8788000000000001,0.07322
18.6355,-22.3106,0.29994699999999996,4.84539,4.3093,-20.3411,0.5445,54.0,0.4951,0.42160000000000003,0.888,0.07669999999999999
19.2097,-19.2638,0.107055,4.24638,1.6678,39.732,0.5723,57.0,0.07566,0.172288,0.972,0.13412
17.6689,-20.5171,0.09446929999999999,5.03115,5.2062,-57.1063,0.4975,49.0,0.49510000000000004,0.30889999999999995,0.9139999999999999,0.1086
19.525,-19.3437,0.12643800000000002,1.9171599999999998,1.2163,-14.7936,0.4363,43.0,0.30105999999999994,0.220504,0.982,0.24258000000000002
18.4541,-20.5522,0.134408,3.45036,1.1362,-7.0067,0.7289,72.0,0.277344,0.09800400000000001,0.9156,0.055819999999999995
16.7183,-21.4677,0.0946695,5.8956800000000005,1.8196,-65.759,0.6403,64.0,0.45864399999999994,0.46766,0.972,0.2739
19.274,-19.7371,0.134688,2.1999400000000002,0.2712,-8.6774,0.8328,83.0,0.21972,0.07330800000000001,0.864,0.08481999999999999
19.7139,-18.4699,0.09478980000000001,2.1192900000000003,1.4967,46.7469,0.3804,38.0,0.112508,0.48628,0.802,0.24721999999999994
16.348,-21.8358,0.094169,6.5506,4.2173,89.9198,0.5478,54.0,0.49608,0.302628,0.9016000000000001,0.1318
17.3603,-21.5086,0.126788,4.3962900000000005,3.4886,-35.0548,0.2788,27.0,0.3187,0.4363,0.9400000000000001,0.21589999999999998
18.8492,-21.5056,0.235519,2.8325099999999996,2.0486,-64.4317,0.665,66.0,0.34319999999999995,0.40690000000000004,0.95,0.2594
19.0686,-21.2862,0.23524899999999999,2.30111,0.8288,-1.7195,0.901,90.0,0.49118,0.31085999999999997,0.982,0.23329999999999995
19.2745,-18.9191,0.0948802,2.65381,0.8817,-53.273,0.9075,90.0,0.260488,0.0345,0.8896000000000001,0.13412
18.9623,-21.7822,0.275688,3.50662,1.5437,6.6618,0.8776,87.0,0.382988,0.14622000000000004,0.96,0.032619999999999996
19.0881,-21.2642,0.23516900000000002,2.69538,2.2947,20.0861,0.8285,82.0,0.33242,0.25892,0.992,0.25766
19.3937,-20.9585,0.235289,2.54767,1.4121,65.4529,0.6805,68.0,0.2991,0.4608,0.864,0.25070000000000003
19.6241,-18.5546,0.0942688,2.81163,1.09,-16.963,0.2248,22.0,0.21090000000000003,0.0639,0.8,0.09409999999999999
19.3986,-19.4817,0.127409,3.7840599999999998,0.9274,53.9961,0.6218,62.0,0.06390000000000001,0.137988,0.9596,0.061619999999999994
19.5353,-21.2104,0.275818,3.14073,1.6454,-11.7041,0.6278,62.0,0.22442399999999998,0.44316,0.864,0.27796000000000004
